Target_genes	Stat6|Average	SRX197271|Macrophages	SRX197272|Macrophages	SRX6432727|Macrophages	SRX6432728|Macrophages	SRX021632|Th1_Cells	SRX021633|Th1_Cells	SRX191132|Th9	SRX353406|Th9	SRX353407|Th9	STRING
Ikzf3	49.444444	0	0	0	0	0	0	0	445	0	0
Gm32687	49.444444	0	0	0	0	137	0	0	75	233	0
Fbxo7	49.444444	0	0	0	0	190	146	0	0	109	0
D030056L22Rik	49.444444	0	0	0	0	83	0	0	116	246	0
Amd2	49.444444	0	0	0	0	266	179	0	0	0	0
Amd1	49.444444	0	0	0	0	266	179	0	0	0	0
Zfp330	49.333333	0	0	0	0	116	0	118	91	119	0
Ube2l6	49.333333	0	226	0	218	0	0	0	0	0	0
Tmem161a	49.333333	0	0	0	0	155	0	0	171	118	0
Psap	49.333333	0	257	0	0	88	0	0	99	0	0
Klhl6	49.333333	0	125	0	0	0	0	0	137	182	0
Fam53a	49.333333	0	0	0	0	263	181	0	0	0	0
Ccdc174	49.333333	0	0	0	0	115	0	0	161	168	0
Brf2	49.333333	0	0	0	0	176	0	0	122	146	0
Uqcrfs1	49.222222	0	0	0	0	184	0	0	77	182	0
Tstd2	49.222222	0	0	0	0	0	0	0	250	193	0
Npat	49.222222	0	0	0	0	133	138	0	0	172	0
Ncbp1	49.222222	0	0	0	0	0	0	0	250	193	0
Eef1aknmt	49.222222	0	0	0	0	127	0	0	150	166	0
Def8	49.222222	0	0	0	171	0	0	93	0	179	0
Coq8a	49.222222	0	0	0	0	250	193	0	0	0	0
C1qtnf6	49.222222	0	0	0	0	314	129	0	0	0	0
Atm	49.222222	0	0	0	0	133	138	0	0	172	0
Cpox	49.111111	0	0	0	0	170	116	0	0	156	0
Trim69	49.000000	0	183	0	0	0	0	0	258	0	0
Slc5a3	49.000000	0	0	0	0	0	0	0	207	234	0
Pomp	49.000000	0	0	0	0	196	0	0	126	119	0
Mrps6	49.000000	0	0	0	0	0	0	0	207	234	0
Ascl4	49.000000	0	0	0	0	0	0	0	271	170	0
Pik3c3	48.888889	0	0	0	0	74	0	0	207	159	0
Klhl21	48.888889	0	0	0	0	234	0	0	0	206	0
Jak3	48.888889	0	0	0	0	297	0	0	0	143	0
Ghitm	48.888889	0	0	0	0	0	118	0	166	156	0
Aqp3	48.888889	0	0	0	0	0	0	0	332	108	0
Zfp959	48.777778	0	0	0	0	0	0	100	0	339	0
Slc39a9	48.777778	0	0	0	0	0	0	0	218	221	0
Il18r1	48.777778	0	0	0	0	280	0	0	0	159	0
Etfrf1	48.777778	0	0	0	0	231	99	0	0	109	0
Erh	48.777778	0	0	0	0	0	0	0	218	221	0
Casc1	48.777778	0	0	0	0	231	99	0	0	109	0
Uba6	48.666667	0	0	0	0	282	156	0	0	0	0
Prc1	48.666667	0	0	0	0	124	0	0	149	165	0
Plscr2	48.666667	0	0	0	0	81	0	0	357	0	0
Mrpl21	48.666667	0	0	125	0	122	0	0	0	191	0
Ighmbp2	48.666667	0	0	125	0	122	0	0	0	191	0
Tmx1	48.555556	0	0	0	0	102	0	0	115	220	0
Tmem29	48.555556	0	0	0	0	126	0	0	206	105	0
Tle3	48.555556	0	0	0	0	253	184	0	0	0	0
Tjp3	48.555556	0	0	0	151	100	0	0	0	186	0
Rpl11	48.555556	0	0	0	0	231	0	0	0	206	0
Ncbp3	48.555556	0	0	0	0	282	0	0	0	155	0
Atad2	48.555556	0	0	0	0	0	0	107	150	180	0
Srebf2	48.444444	0	0	0	0	163	0	0	106	167	0
Lyrm4	48.444444	0	0	0	228	0	0	0	0	208	0
Fars2	48.444444	0	0	0	228	0	0	0	0	208	0
Eri3	48.444444	0	0	0	0	88	129	0	0	219	0
Bcas3	48.444444	0	0	0	0	110	177	0	0	149	0
Stx11	48.333333	0	0	0	0	0	0	0	167	268	0
Rps23	48.333333	0	0	78	0	0	82	0	121	154	0
Mycbp2	48.333333	0	0	0	149	171	0	0	0	115	0
Cap1	48.333333	0	0	0	110	164	0	0	0	161	0
Zswim6	48.222222	0	0	0	0	284	150	0	0	0	0
Kpna2	48.222222	0	0	176	258	0	0	0	0	0	0
Irf8	48.222222	0	0	0	0	286	148	0	0	0	0
Ercc3	48.222222	0	0	0	0	127	0	0	145	162	0
Cela1	48.222222	0	0	0	0	0	0	0	183	251	0
Zmynd12	48.111111	0	0	0	0	241	192	0	0	0	0
Scd4	48.111111	0	0	220	213	0	0	0	0	0	0
Rpl37	48.111111	0	0	0	0	147	0	0	90	196	0
Prdx1	48.111111	0	0	0	0	148	0	0	126	159	0
Ppcs	48.111111	0	0	0	0	241	192	0	0	0	0
Nasp	48.111111	0	0	0	0	242	191	0	0	0	0
Kpna3	48.111111	0	0	0	0	0	0	0	145	288	0
Adcy7	48.111111	0	182	0	0	0	166	0	85	0	0
Zfp219	48.000000	0	0	0	0	172	144	0	0	116	0
Tmem26	48.000000	0	159	140	133	0	0	0	0	0	0
Sptlc2	48.000000	0	0	0	0	190	0	0	98	144	0
Nxt1	48.000000	0	0	0	0	94	0	0	123	215	0
Ndufaf7	48.000000	0	0	0	0	0	0	0	201	231	0
Glt1d1	48.000000	0	432	0	0	0	0	0	0	0	0
Dctn6	48.000000	0	0	0	137	0	0	97	0	198	0
Cebpz	48.000000	0	0	0	0	0	0	0	201	231	0
Bzw2	48.000000	0	0	0	97	335	0	0	0	0	0
Atxn7l1	48.000000	0	0	0	0	147	0	0	178	107	0
Uvssa	47.888889	0	0	0	0	122	94	0	106	109	0
Diaph1	47.888889	0	0	0	0	289	0	0	0	142	0
Tyw3	47.777778	0	0	103	74	119	0	0	0	134	0
Tpt1	47.777778	0	0	0	0	142	139	0	0	149	0
Pelp1	47.777778	0	0	0	0	312	118	0	0	0	0
Mylip	47.777778	0	0	0	0	232	198	0	0	0	0
Jtb	47.777778	0	0	0	0	211	219	0	0	0	0
Cryz	47.777778	0	0	103	74	119	0	0	0	134	0
Ywhab	47.666667	0	0	0	0	271	158	0	0	0	0
Spdl1	47.666667	0	0	0	0	0	0	0	249	180	0
Nup107	47.666667	0	0	0	0	146	0	0	128	155	0
H2-T24	47.666667	0	0	0	0	92	0	0	182	155	0
Ttc37	47.555556	0	0	0	0	154	0	0	136	138	0
Tsfm	47.555556	0	0	0	0	240	0	0	0	188	0
Dusp12	47.555556	0	0	0	0	269	0	0	0	159	0
Cox17	47.555556	0	0	0	208	123	0	0	0	97	0
Arsk	47.555556	0	0	0	0	154	0	0	136	138	0
Magoh	47.444444	0	0	0	0	147	118	0	0	162	0
Inpp4b	47.444444	0	0	0	0	140	0	0	129	158	0
Hfe	47.444444	0	0	0	0	0	0	0	427	0	0
Rbm4b	47.333333	0	0	0	0	149	133	0	0	144	0
Khdc4	47.333333	0	0	0	0	106	0	0	121	199	0
Fnbp4	47.333333	0	0	0	0	0	107	0	157	162	0
Cnot1	47.333333	0	0	0	0	202	0	0	0	224	0
Abca1	47.333333	0	113	0	0	0	148	0	0	165	0
P4hb	47.222222	0	0	0	0	155	161	0	109	0	0
Bicd2	47.222222	0	0	0	0	110	0	0	153	162	0
Ap2s1	47.222222	0	0	0	0	0	0	0	177	248	0
Ubash3b	47.111111	0	292	0	132	0	0	0	0	0	0
Spc25	47.111111	0	0	0	0	0	0	0	204	220	0
Sdccag8	47.111111	0	0	0	0	0	0	0	145	279	0
Rexo5	47.111111	0	0	0	0	0	0	0	183	241	0
Rbl1	47.111111	0	0	0	0	0	0	122	0	302	0
Prr14l	47.111111	0	0	0	0	267	0	0	0	157	0
Fam3c	47.111111	0	0	0	0	129	0	0	100	195	0
Fam171b	47.111111	0	0	0	0	223	201	0	0	0	0
Eri2	47.111111	0	0	0	0	0	0	0	183	241	0
Cep170	47.111111	0	0	0	0	0	0	0	145	279	0
C9orf72	47.111111	0	0	0	121	104	0	0	0	199	0
Yif1b	47.000000	0	0	0	0	124	0	0	144	155	0
Ifi207	47.000000	0	308	0	115	0	0	0	0	0	0
Eif2s2	47.000000	0	0	0	0	94	118	0	0	211	0
Rsl1	46.888889	0	0	0	0	132	0	0	95	195	0
Rnf7	46.888889	0	0	0	0	194	0	0	99	129	0
Mif	46.888889	0	0	0	0	143	144	0	135	0	0
Kdm4d	46.888889	0	0	0	0	0	0	0	265	157	0
Cwc15	46.888889	0	0	0	0	0	0	0	265	157	0
Bbs10	46.888889	0	0	0	0	0	0	0	178	244	0
Acbd5	46.888889	0	0	0	0	108	0	0	118	196	0
Zswim9	46.777778	0	0	0	0	165	0	0	83	173	0
Nlrp3	46.777778	0	421	0	0	0	0	0	0	0	0
Myb	46.777778	0	0	0	0	0	0	0	160	261	0
Lig1	46.777778	0	0	0	0	165	0	0	83	173	0
Dpp8	46.777778	0	0	0	0	248	0	0	0	173	0
Bcl7b	46.777778	0	0	0	128	168	0	0	0	125	0
B9d1	46.777778	0	0	0	0	167	0	0	88	166	0
Wsb1	46.666667	0	0	0	0	132	0	0	141	147	0
Tnfrsf9	46.666667	0	0	0	0	110	0	0	0	310	0
Sp6	46.666667	0	0	0	0	420	0	0	0	0	0
Smim13	46.666667	0	0	0	0	143	0	0	81	196	0
Rnf181	46.666667	0	0	0	0	272	148	0	0	0	0
Pcid2	46.666667	0	0	0	0	140	0	0	105	175	0
Cul4a	46.666667	0	0	0	0	140	0	0	105	175	0
Arhgap30	46.666667	0	0	0	0	262	0	0	158	0	0
Zfp451	46.555556	0	0	0	0	120	0	0	94	205	0
Ube2z	46.555556	0	0	0	0	105	0	0	136	178	0
Tpgs1	46.555556	0	0	0	0	0	0	0	130	289	0
Nr6a1	46.555556	0	0	0	0	273	0	0	0	146	0
Atp5d	46.555556	0	0	0	0	218	0	0	105	96	0
Sult2b1	46.444444	0	0	0	0	223	0	0	195	0	0
Ppp3r1	46.444444	0	0	0	0	180	122	0	0	116	0
Nckap1l	46.444444	0	216	0	0	81	0	0	0	121	0
Wdr53	46.333333	0	0	0	0	129	0	0	121	167	0
Setd5	46.333333	0	0	0	0	0	0	0	253	164	0
Rab5if	46.333333	0	0	0	0	160	0	0	0	257	0
Qrich1	46.333333	105	0	122	102	88	0	0	0	0	0
Nop16	46.333333	0	0	0	0	94	0	0	197	126	0
Kif11	46.333333	0	0	0	0	181	0	0	0	236	0
Hnrnpa2b1	46.333333	0	0	0	124	0	0	0	131	162	0
Higd2a	46.333333	0	0	0	0	94	0	0	197	126	0
Fbxo45	46.333333	0	0	0	0	129	0	0	121	167	0
Cmtr2	46.333333	0	0	0	112	110	86	0	0	109	0
Cbx3	46.333333	0	0	0	124	0	0	0	131	162	0
Ptma	46.222222	0	0	0	148	179	89	0	0	0	0
Psen1	46.222222	0	0	0	0	149	0	0	115	152	0
Nup35	46.222222	0	0	0	0	153	0	0	96	167	0
Mmaa	46.222222	0	0	0	0	128	0	153	0	135	0
Med18	46.222222	0	0	0	0	100	0	0	115	201	0
Maf	46.222222	0	0	0	183	126	0	0	0	107	0
Ints6l	46.222222	0	0	0	0	180	236	0	0	0	0
Cct5	46.222222	0	121	0	0	0	0	0	185	110	0
Atpsckmt	46.222222	0	121	0	0	0	0	0	185	110	0
Zfp169	46.111111	0	0	0	0	248	0	0	0	167	0
Vma21	46.111111	0	0	0	0	209	108	0	0	98	0
Trim30a	46.111111	0	0	0	0	159	0	0	136	120	0
Ldah	46.111111	0	0	0	0	113	184	0	0	118	0
Kti12	46.111111	0	0	0	0	113	0	0	123	179	0
Vps52	46.000000	0	0	0	0	217	0	0	112	85	0
Vkorc1l1	46.000000	0	0	0	0	90	176	0	0	148	0
Rps18	46.000000	0	0	0	0	217	0	0	112	85	0
Gucy2g	46.000000	0	309	0	105	0	0	0	0	0	0
Vps72	45.888889	0	0	0	0	134	0	0	131	148	0
Vmn1r47	45.888889	413	0	0	0	0	0	0	0	0	0
Tomm6	45.888889	0	0	0	0	135	0	0	149	129	0
Ncoa4	45.888889	0	0	0	89	200	0	0	0	124	0
Morf4l1	45.888889	0	0	0	0	181	0	0	0	232	0
Lrrc45	45.888889	0	0	0	0	127	0	0	164	122	0
Evl	45.888889	0	0	0	0	0	0	0	230	183	0
Cenpx	45.888889	0	0	0	0	127	0	0	164	122	0
Armcx2	45.888889	0	0	0	0	413	0	0	0	0	0
Arhgef2	45.888889	0	0	0	0	0	0	0	247	166	0
Zmynd19	45.777778	0	0	0	0	210	0	71	0	131	0
Plag1	45.777778	0	0	0	0	197	0	0	0	215	0
Pex12	45.777778	0	0	0	0	140	0	0	0	272	0
Nfyc	45.777778	0	0	0	0	170	0	88	57	97	0
Itgal	45.777778	0	0	0	0	123	0	0	137	152	0
Dph5	45.777778	0	0	0	0	0	0	0	160	252	0
Dmac1	45.777778	0	0	0	0	0	0	0	144	268	0
Casp8ap2	45.777778	0	0	0	0	127	0	0	103	182	0
Zfp868	45.666667	0	0	0	0	172	0	0	0	239	0
Snrpb	45.666667	0	0	0	0	174	141	0	0	96	0
Mndal	45.666667	0	219	0	0	0	0	0	192	0	0
Dus4l	45.666667	0	0	0	119	147	0	0	0	145	0
Cog5	45.666667	0	0	0	119	147	0	0	0	145	0
Ankrd37	45.666667	0	0	0	0	132	0	0	120	159	0
Olfr532	45.555556	0	0	0	0	410	0	0	0	0	0
Iqch	45.555556	0	0	0	0	164	0	0	115	131	0
Ddx10	45.555556	0	0	0	0	116	137	0	0	157	0
Aftph	45.555556	0	198	0	101	0	0	0	0	111	0
Aagab	45.555556	0	0	0	0	164	0	0	115	131	0
Zfp622	45.444444	0	0	0	0	116	0	0	166	127	0
Zfp46	45.444444	0	0	0	0	0	0	0	166	243	0
Sirt1	45.444444	0	0	0	0	300	109	0	0	0	0
Patl1	45.444444	0	0	109	108	100	92	0	0	0	0
3110040N11Rik	45.444444	0	0	0	0	93	0	118	84	114	0
Tgoln2	45.333333	0	0	123	0	135	0	0	0	150	0
Tgoln1	45.333333	0	0	123	0	135	0	0	0	150	0
Mmp8	45.333333	0	408	0	0	0	0	0	0	0	0
Gemin6	45.333333	0	0	0	0	0	0	0	164	244	0
Ehbp1	45.333333	0	222	0	0	0	0	0	186	0	0
Cd7	45.333333	0	0	0	0	184	0	0	224	0	0
Abhd18	45.333333	0	0	0	0	99	0	0	140	169	0
Zfp426	45.222222	0	0	0	0	150	0	0	110	147	0
Slc37a1	45.222222	0	0	0	0	157	0	0	107	143	0
Rabggta	45.222222	0	0	0	0	249	0	0	0	158	0
Myo18a	45.222222	0	0	0	0	147	0	0	104	156	0
Map2k7	45.222222	0	0	0	0	87	87	0	130	103	0
Gnai3	45.222222	0	0	0	0	149	128	0	0	130	0
Fadd	45.222222	0	0	0	0	291	0	0	0	116	0
Elf1	45.222222	0	0	0	0	107	0	0	184	116	0
Arf4	45.222222	0	0	0	0	113	0	0	140	154	0
Tgfbrap1	45.111111	0	0	0	0	202	0	0	0	204	0
Strn3	45.111111	0	0	141	139	0	0	0	0	126	0
Rad18	45.111111	0	0	0	0	140	0	0	104	162	0
Mga	45.111111	0	0	0	0	153	109	0	0	144	0
Cnksr3	45.111111	0	0	0	0	240	0	0	166	0	0
Alg14	45.111111	0	0	0	0	185	0	0	0	221	0
AI597479	45.111111	0	0	0	0	202	0	0	0	204	0
Zzef1	45.000000	0	0	0	0	114	0	0	112	179	0
Smim3	45.000000	0	0	0	0	198	0	0	207	0	0
Sephs2	45.000000	0	0	0	0	167	128	0	110	0	0
Gstp3	45.000000	0	0	0	0	293	112	0	0	0	0
Fbxl19	45.000000	0	0	0	0	156	0	0	137	112	0
Cyb5d2	45.000000	0	0	0	0	114	0	0	112	179	0
Ankrd13c	45.000000	0	0	0	0	0	76	0	79	250	0
AW209491	44.888889	0	0	0	0	129	0	0	88	187	0
Adat1	44.888889	0	0	0	0	129	134	0	0	141	0
Sp4	44.777778	0	0	0	0	99	0	0	121	183	0
Rnf139	44.777778	0	0	0	0	120	0	123	0	160	0
Naa38	44.777778	0	0	0	0	158	0	0	0	245	0
Heatr1	44.777778	0	0	0	0	103	0	0	126	174	0
Cyb5d1	44.777778	0	0	0	0	158	0	0	0	245	0
Snx1	44.666667	0	0	211	92	99	0	0	0	0	0
Ralbp1	44.666667	0	0	0	0	0	0	0	111	291	0
Ppip5k2	44.666667	0	0	0	0	160	0	0	0	242	0
Mmp10	44.666667	0	0	0	0	402	0	0	0	0	0
Manf	44.666667	0	0	0	0	190	212	0	0	0	0
Inpp5k	44.666667	0	0	0	113	147	0	0	0	142	0
H3c15	44.666667	0	0	92	0	0	0	128	0	182	0
H3c14	44.666667	0	0	92	0	0	0	128	0	182	0
Gin1	44.666667	0	0	0	0	160	0	0	0	242	0
D6Wsu163e	44.666667	0	95	0	0	171	0	0	0	136	0
Casc3	44.666667	0	0	0	0	198	0	0	92	112	0
Taf1c	44.555556	0	0	0	0	143	101	0	0	157	0
Sfxn5	44.555556	0	0	0	0	102	0	0	168	131	0
Rpp40	44.555556	0	0	0	0	0	0	0	111	290	0
Mrpl10	44.555556	0	0	0	0	86	0	0	160	155	0
Mettl4	44.555556	0	0	0	0	129	0	0	131	141	0
Lrrc46	44.555556	0	0	0	0	86	0	0	160	155	0
Hibch	44.555556	0	0	0	0	0	0	0	151	250	0
Ddx21	44.555556	0	0	0	0	165	105	0	0	131	0
Ccnt2	44.555556	0	0	0	0	103	95	0	0	203	0
Atrnl1	44.555556	0	263	0	138	0	0	0	0	0	0
Utp14b	44.444444	0	0	0	0	134	161	0	0	105	0
Tmem230	44.444444	0	0	0	0	117	121	0	0	162	0
Sipa1l2	44.444444	0	400	0	0	0	0	0	0	0	0
Pcnt	44.444444	0	0	0	0	70	0	127	89	114	0
Il1a	44.444444	0	147	0	253	0	0	0	0	0	0
Exoc4	44.444444	0	0	0	0	93	0	0	123	184	0
Clptm1l	44.444444	0	0	0	0	100	0	0	137	163	0
Cbll1	44.444444	0	0	0	0	0	0	0	97	303	0
Acsl3	44.444444	0	0	0	0	134	161	0	0	105	0
Klhdc2	44.333333	0	0	0	0	286	0	0	0	113	0
Dedd	44.333333	0	0	0	0	139	0	0	0	260	0
Zfp518a	44.222222	0	0	0	261	0	0	0	0	137	0
Wdr7	44.222222	0	0	0	98	92	126	0	0	82	0
Tfb2m	44.222222	0	0	0	0	151	0	0	0	247	0
Sec24c	44.222222	0	0	0	0	273	0	0	0	125	0
Mtmr10	44.222222	0	0	0	84	165	0	0	0	149	0
Cnst	44.222222	0	0	0	0	151	0	0	0	247	0
Zfp119a	44.111111	0	0	0	0	0	0	0	137	260	0
Uba5	44.111111	0	0	95	159	0	0	0	0	143	0
Edem2	44.111111	0	0	0	0	0	0	0	131	266	0
Acad11	44.111111	0	0	95	159	0	0	0	0	143	0
Nufip2	44.000000	0	0	0	0	213	0	0	183	0	0
Ccr4	44.000000	0	0	0	0	77	0	0	319	0	0
Vps25	43.888889	0	0	111	0	68	0	0	0	216	0
Vezt	43.888889	0	0	0	0	80	0	0	0	315	0
Tnpo1	43.888889	0	0	0	0	224	0	0	0	171	0
Ssu72	43.888889	0	0	0	0	0	0	0	138	257	0
Rab5b	43.888889	0	0	0	0	97	94	0	112	92	0
Poc5	43.888889	0	0	0	0	92	0	0	109	194	0
Pih1d1	43.888889	0	0	0	0	275	0	0	0	120	0
Mtg1	43.888889	0	0	0	0	213	0	0	0	182	0
Fgd6	43.888889	0	0	0	0	80	0	0	0	315	0
Cma1	43.888889	0	210	0	0	0	0	0	185	0	0
Cirbp	43.888889	0	0	0	0	260	135	0	0	0	0
Ankrd11	43.888889	0	0	0	0	101	0	0	113	181	0
Aldh16a1	43.888889	0	0	0	0	275	0	0	0	120	0
Ahctf1	43.888889	0	0	0	0	87	0	0	140	168	0
Serpini1	43.777778	0	0	0	0	0	0	0	181	213	0
Pdcd10	43.777778	0	0	0	0	0	0	0	181	213	0
Mtpap	43.777778	0	0	0	0	113	0	0	136	145	0
Mocs3	43.777778	0	0	0	141	0	0	0	116	137	0
Fuca2	43.777778	0	0	0	0	253	141	0	0	0	0
Dpm1	43.777778	0	0	0	141	0	0	0	116	137	0
Dnajc27	43.777778	0	0	0	0	144	250	0	0	0	0
Abcb8	43.777778	0	0	0	0	108	0	0	152	134	0
Tram1	43.666667	0	0	0	0	0	0	0	141	252	0
Tcp1	43.666667	0	0	0	0	0	100	0	84	209	0
Mrpl18	43.666667	0	0	0	0	0	100	0	84	209	0
Mettl3	43.666667	0	0	0	0	0	0	0	152	241	0
Gorab	43.666667	0	0	0	0	113	0	0	159	121	0
Golga5	43.666667	0	0	0	0	172	0	0	0	221	0
Zfp866	43.555556	0	0	0	0	0	0	124	95	173	0
Zc3h3	43.555556	0	0	0	0	145	0	0	121	126	0
Setx	43.555556	0	0	0	0	302	0	0	0	90	0
Pik3ca	43.555556	0	0	0	0	257	0	0	0	135	0
Lrp11	43.555556	0	0	0	0	137	0	0	123	132	0
Lap3	43.555556	0	0	0	0	294	98	0	0	0	0
H4c17	43.555556	0	0	0	0	228	164	0	0	0	0
Elmod2	43.555556	0	0	0	0	212	0	0	0	180	0
Dcaf15	43.555556	0	0	0	0	0	0	0	177	215	0
Mzf1	43.444444	0	0	0	122	0	0	0	94	175	0
Cspp1	43.444444	0	0	0	100	0	0	0	143	148	0
Crbn	43.444444	0	0	0	0	169	0	0	0	222	0
Cops5	43.444444	0	0	0	100	0	0	0	143	148	0
Zfp13	43.333333	0	0	0	0	126	71	0	95	98	0
Wdr12	43.333333	0	0	0	89	0	0	0	125	176	0
Trub1	43.333333	0	0	0	0	149	0	0	108	133	0
Tcam1	43.333333	0	0	0	0	235	155	0	0	0	0
Snx3	43.333333	0	0	0	0	134	0	0	137	119	0
Plcd1	43.333333	0	0	0	0	0	0	0	390	0	0
Irak2	43.333333	0	0	0	0	239	0	0	151	0	0
Ints14	43.333333	0	0	0	0	161	0	0	97	132	0
E2f8	43.333333	0	248	0	142	0	0	0	0	0	0
Dync1li2	43.333333	0	0	0	0	79	0	0	126	185	0
Carf	43.333333	0	0	0	89	0	0	0	125	176	0
Zswim3	43.222222	0	0	0	0	135	0	0	109	145	0
Zfp90	43.222222	0	0	0	0	148	0	0	95	146	0
Ushbp1	43.222222	0	169	0	0	104	0	0	116	0	0
Txnl4a	43.222222	0	0	0	0	218	171	0	0	0	0
Rpl41	43.222222	0	0	0	0	244	0	0	145	0	0
Rbm5	43.222222	0	0	0	0	0	0	0	207	182	0
Psme3	43.222222	0	0	0	0	164	124	0	0	101	0
Kdm1a	43.222222	0	0	0	0	144	0	0	101	144	0
Ino80e	43.222222	0	0	0	0	116	0	0	120	153	0
Hirip3	43.222222	0	0	0	0	116	0	0	120	153	0
Gm16286	43.222222	0	0	0	0	218	171	0	0	0	0
Fzr1	43.222222	0	0	0	0	136	122	0	0	131	0
Fam118a	43.222222	0	0	0	0	0	0	0	156	233	0
Creld2	43.222222	0	0	0	0	0	0	0	154	235	0
Alg12	43.222222	0	0	0	0	0	0	0	154	235	0
Acot8	43.222222	0	0	0	0	135	0	0	109	145	0
Zfp809	43.111111	0	0	0	0	153	0	0	79	156	0
Zc3h15	43.111111	0	0	0	0	153	0	0	0	235	0
Wrnip1	43.111111	0	106	0	0	105	0	0	0	177	0
Srd5a1	43.111111	0	0	0	111	0	0	0	116	161	0
Sfxn2	43.111111	0	0	0	0	170	218	0	0	0	0
P2ry6	43.111111	0	190	0	198	0	0	0	0	0	0
Nsun2	43.111111	0	0	0	111	0	0	0	116	161	0
Mettl23	43.111111	0	0	0	0	207	92	0	0	89	0
Kctd3	43.111111	0	0	0	0	183	0	0	0	205	0
Inpp5e	43.111111	0	0	0	0	242	0	146	0	0	0
Atp5g3	43.111111	0	0	0	0	134	0	0	133	121	0
Arl3	43.111111	0	0	0	0	170	218	0	0	0	0
Anapc10	43.111111	0	0	0	0	236	0	0	0	152	0
Abce1	43.111111	0	0	0	0	236	0	0	0	152	0
Zfp566	43.000000	0	0	0	0	125	72	0	74	116	0
Trim23	43.000000	0	0	0	0	89	0	0	196	102	0
Trappc13	43.000000	0	0	0	0	89	0	0	196	102	0
Shld3	43.000000	0	0	0	0	89	0	0	196	102	0
Selenof	43.000000	0	0	0	0	213	174	0	0	0	0
Sec31a	43.000000	0	0	0	0	62	0	0	137	188	0
Phax	43.000000	0	0	0	0	111	0	0	90	186	0
Mbnl1	43.000000	0	0	0	0	0	0	0	387	0	0
Hs2st1	43.000000	0	0	0	0	213	174	0	0	0	0
Dclre1c	43.000000	0	387	0	0	0	0	0	0	0	0
Aldh7a1	43.000000	0	0	0	0	111	0	0	90	186	0
Actr3	43.000000	0	0	0	155	0	0	0	0	232	0
Tpk1	42.888889	0	0	0	0	141	0	0	101	144	0
Pgp	42.888889	0	0	0	0	146	0	0	123	117	0
Mbd4	42.888889	0	0	0	0	172	0	0	107	107	0
Ift122	42.888889	0	0	0	0	172	0	0	107	107	0
Gimap8	42.888889	0	0	0	0	103	0	0	283	0	0
Ckap5	42.888889	0	0	0	0	130	144	0	0	112	0
Api5	42.888889	0	0	0	0	195	0	0	0	191	0
Zfp994	42.777778	0	0	0	0	239	146	0	0	0	0
Slc15a4	42.777778	0	0	0	0	255	0	0	0	130	0
Sar1a	42.777778	0	0	0	0	217	168	0	0	0	0
Tmcc1	42.666667	0	0	0	0	200	99	0	0	85	0
Tbrg4	42.666667	0	0	0	0	108	0	0	108	168	0
Prpsap1	42.666667	0	0	0	0	0	0	0	173	211	0
Gm13285	42.666667	0	0	0	0	181	0	117	0	86	0
Cwc25	42.666667	0	0	0	0	184	80	120	0	0	0
Csnk1g2	42.666667	0	0	0	0	95	156	0	133	0	0
Tonsl	42.555556	0	0	0	0	191	0	0	88	104	0
Sppl2b	42.555556	0	0	0	0	137	0	0	144	102	0
Slc26a6	42.555556	0	243	0	140	0	0	0	0	0	0
Rnf141	42.555556	0	0	0	0	159	0	103	0	121	0
Lsm7	42.555556	0	0	0	0	137	0	0	144	102	0
Flcn	42.555556	0	0	0	148	128	0	0	0	107	0
Rad51d	42.444444	0	0	0	0	280	0	0	0	102	0
Phip	42.444444	0	0	164	124	0	0	0	0	94	0
Paf1	42.444444	0	0	0	0	124	0	0	164	94	0
Med29	42.444444	0	0	0	0	124	0	0	164	94	0
Gyg	42.444444	0	112	0	0	270	0	0	0	0	0
Fkbp5	42.444444	0	0	0	0	142	240	0	0	0	0
Eif3h	42.444444	0	0	0	0	165	0	0	70	147	0
Cep97	42.444444	0	0	0	0	188	0	0	74	120	0
Prpf4b	42.333333	0	0	70	0	130	0	0	0	181	0
Prmt6	42.333333	0	0	0	0	0	0	0	154	227	0
Map4k1	42.333333	0	0	0	0	195	0	0	186	0	0
Flvcr1	42.333333	0	0	0	0	71	115	0	0	195	0
Eif3k	42.333333	0	0	0	0	195	0	0	186	0	0
Cog7	42.333333	0	0	0	0	130	114	0	0	137	0
Clec16a	42.333333	0	0	0	0	97	0	0	0	284	0
Zfp688	42.222222	0	0	0	0	122	0	0	79	179	0
Tmem39a	42.222222	0	0	0	0	218	0	0	0	162	0
Taf15	42.222222	0	0	0	0	116	0	0	113	151	0
Sec11a	42.222222	0	0	0	110	94	76	0	0	100	0
Scai	42.222222	0	0	0	0	122	127	0	0	131	0
Irf1	42.222222	0	0	0	0	177	0	0	84	119	0
Cmc2	42.222222	0	0	106	0	98	0	0	0	176	0
Cenpn	42.222222	0	0	106	0	98	0	0	0	176	0
Rtraf	42.111111	0	0	0	0	139	0	0	121	119	0
Ptk2	42.111111	0	0	0	0	0	0	0	379	0	0
Ndufa3	42.111111	0	0	0	0	0	0	0	155	224	0
Fancl	42.111111	0	0	157	0	0	0	0	0	222	0
Cnot8	42.111111	0	0	0	0	198	0	0	0	181	0
BC048403	42.111111	0	0	0	0	189	0	92	0	98	0
Slc25a25	42.000000	0	134	0	244	0	0	0	0	0	0
Rnf149	42.000000	0	0	0	0	97	133	0	0	148	0
