Target_genes	Stat4|Average	SRX3324130|Natural_Killer_T-Cells	SRX3324132|Natural_Killer_T-Cells	SRX3324134|Natural_Killer_T-Cells	SRX3324136|Natural_Killer_T-Cells	SRX3324138|Natural_Killer_T-Cells	SRX021624|Th1_Cells	SRX021625|Th1_Cells	SRX041279|Th1_Cells	STRING
Mtmr4	37.125000	148	0	0	0	0	149	0	0	0
Mlf2	37.125000	0	0	192	0	0	0	105	0	0
E4f1	37.125000	167	0	0	0	130	0	0	0	0
Ddi2	37.125000	95	0	202	0	0	0	0	0	0
Calr	37.125000	99	0	198	0	0	0	0	0	0
Arl15	37.125000	0	0	128	0	169	0	0	0	0
Rsrp1	37.000000	114	0	182	0	0	0	0	0	0
Igtp	37.000000	0	0	0	0	0	296	0	0	0
Got1	37.000000	157	0	0	0	139	0	0	0	0
Gdf11	37.000000	0	0	0	0	0	296	0	0	0
Dennd6a	37.000000	187	0	0	0	0	109	0	0	0
Ctcf	37.000000	169	0	127	0	0	0	0	0	0
Ssbp2	36.875000	0	0	0	0	0	295	0	0	0
Smg5	36.875000	96	0	0	0	0	199	0	0	0
Slc39a13	36.875000	0	0	0	0	0	295	0	0	0
Rps14	36.875000	167	0	128	0	0	0	0	0	0
Pdhb	36.875000	130	0	88	0	77	0	0	0	0
Oaz1	36.875000	177	0	118	0	0	0	0	0	0
Nars2	36.875000	0	0	0	0	0	295	0	0	0
Mon1a	36.875000	0	0	0	0	0	295	0	0	0
Meaf6	36.875000	0	0	0	0	0	295	0	0	0
Cnp	36.875000	0	0	120	0	0	175	0	0	0
Chrac1	36.875000	167	0	128	0	0	0	0	0	0
Xpc	36.750000	157	0	137	0	0	0	0	0	0
Tmem170b	36.750000	157	0	137	0	0	0	0	0	0
Seh1l	36.750000	120	0	0	0	0	174	0	0	0
Rab5b	36.750000	157	0	137	0	0	0	0	0	0
Lsm3	36.750000	157	0	137	0	0	0	0	0	0
Lasp1	36.750000	0	0	145	0	0	149	0	0	0
Fbxo5	36.750000	148	0	146	0	0	0	0	0	0
Edf1	36.750000	130	0	164	0	0	0	0	0	0
Chst2	36.750000	0	0	0	0	0	294	0	0	0
Spata5l1	36.625000	147	0	146	0	0	0	0	0	0
Lekr1	36.625000	0	0	0	0	0	293	0	0	0
Klhl9	36.625000	86	0	0	0	0	207	0	0	0
Iba57	36.625000	130	0	0	0	0	163	0	0	0
Camsap2	36.625000	173	0	0	0	120	0	0	0	0
Ankle2	36.625000	157	0	0	0	0	136	0	0	0
Olr1	36.500000	0	0	0	0	0	292	0	0	0
H2az2	36.500000	197	0	95	0	0	0	0	0	0
Gmeb2	36.500000	0	0	191	0	101	0	0	0	0
Styxl1	36.375000	86	0	103	0	102	0	0	0	0
Sema6b	36.375000	0	0	0	0	0	291	0	0	0
Pop5	36.375000	0	0	0	0	0	291	0	0	0
Osm	36.375000	113	0	0	0	0	178	0	0	0
Mdh2	36.375000	86	0	103	0	102	0	0	0	0
Incenp	36.375000	180	0	0	0	111	0	0	0	0
Hace1	36.375000	0	0	0	0	0	291	0	0	0
H2aw	36.375000	291	0	0	0	0	0	0	0	0
Ell2	36.375000	0	0	137	0	0	154	0	0	0
Pgpep1l	36.250000	0	0	0	0	0	290	0	0	0
Mfsd10	36.250000	0	0	0	0	0	290	0	0	0
Ifi206	36.250000	188	0	0	0	0	102	0	0	0
Sdad1	36.125000	0	0	0	0	0	194	95	0	0
Rusc1	36.125000	0	0	0	0	0	289	0	0	0
Dusp2	36.125000	82	97	110	0	0	0	0	0	0
Alkbh2	36.125000	0	0	0	0	0	289	0	0	0
Slc7a6	36.000000	0	0	0	0	0	288	0	0	0
Rps19	36.000000	114	0	0	0	0	174	0	0	0
Mdfi	36.000000	0	0	0	0	0	288	0	0	0
Dnajc11	36.000000	148	0	0	0	0	140	0	0	0
Csde1	36.000000	153	0	0	0	0	135	0	0	0
Zfp113	35.875000	157	0	0	0	0	130	0	0	0
Srsf9	35.875000	167	0	0	0	120	0	0	0	0
Sf3b5	35.875000	157	0	0	0	130	0	0	0	0
Olfr530	35.875000	287	0	0	0	0	0	0	0	0
Tpp2	35.750000	103	0	88	0	0	95	0	0	0
Dars	35.750000	0	0	0	0	0	286	0	0	0
Cenpw	35.750000	0	0	0	0	0	286	0	0	0
Actn4	35.750000	0	0	192	0	94	0	0	0	0
Uqcc1	35.625000	0	0	0	0	0	285	0	0	0
Tuba1a	35.625000	157	0	0	0	0	128	0	0	0
Ttc26	35.625000	0	0	0	0	0	285	0	0	0
Tmed3	35.625000	139	0	146	0	0	0	0	0	0
Rpl23	35.625000	157	0	128	0	0	0	0	0	0
Ncbp3	35.625000	121	0	164	0	0	0	0	0	0
Naa40	35.625000	157	0	128	0	0	0	0	0	0
Ift172	35.625000	148	0	137	0	0	0	0	0	0
Gm6712	35.625000	148	0	137	0	0	0	0	0	0
Dolk	35.625000	112	0	173	0	0	0	0	0	0
D030056L22Rik	35.625000	112	0	173	0	0	0	0	0	0
Arhgdia	35.625000	157	0	128	0	0	0	0	0	0
Thap4	35.500000	172	0	112	0	0	0	0	0	0
Rps15a	35.500000	168	0	116	0	0	0	0	0	0
Morf4l2	35.500000	121	0	0	0	0	163	0	0	0
Ggnbp2	35.500000	164	0	120	0	0	0	0	0	0
Ern1	35.500000	92	0	192	0	0	0	0	0	0
Bcl10	35.500000	0	0	72	0	0	212	0	0	0
Atg4b	35.500000	172	0	112	0	0	0	0	0	0
Vdac3	35.375000	146	0	137	0	0	0	0	0	0
Hyou1	35.375000	0	0	137	0	0	146	0	0	0
Atp6v0a1	35.375000	283	0	0	0	0	0	0	0	0
Atf7	35.375000	95	0	0	0	0	188	0	0	0
Spg7	35.250000	179	0	103	0	0	0	0	0	0
Slc25a25	35.250000	99	0	183	0	0	0	0	0	0
S100a6	35.250000	0	0	0	0	0	282	0	0	0
Rps5	35.250000	162	0	120	0	0	0	0	0	0
Pcnp	35.250000	125	0	0	0	0	157	0	0	0
Myl12a	35.250000	139	0	0	0	0	143	0	0	0
Mtf2	35.250000	187	0	95	0	0	0	0	0	0
Hmgb2	35.250000	149	0	133	0	0	0	0	0	0
H2ax	35.250000	187	0	95	0	0	0	0	0	0
Ep400	35.250000	103	0	179	0	0	0	0	0	0
Edrf1	35.250000	157	0	0	0	0	125	0	0	0
Cop1	35.250000	154	0	128	0	0	0	0	0	0
Ube2d2a	35.125000	144	0	137	0	0	0	0	0	0
Rap2c	35.125000	0	0	0	0	0	281	0	0	0
Ppp2r2a	35.125000	0	0	0	0	0	281	0	0	0
Ogfod1	35.125000	137	0	0	0	0	144	0	0	0
Nudt21	35.125000	137	0	0	0	0	144	0	0	0
Mthfr	35.125000	281	0	0	0	0	0	0	0	0
Clcn6	35.125000	281	0	0	0	0	0	0	0	0
Ccng1	35.125000	170	0	0	0	111	0	0	0	0
Agfg2	35.125000	0	0	0	0	0	281	0	0	0
Abcd3	35.125000	0	0	0	0	0	281	0	0	0
Zfp97	35.000000	0	0	0	0	0	168	0	112	0
Usp1	35.000000	187	0	93	0	0	0	0	0	0
Tcea1	35.000000	148	0	0	0	0	132	0	0	0
Mettl23	35.000000	177	0	103	0	0	0	0	0	0
Klf10	35.000000	84	0	0	0	0	196	0	0	0
Jmjd6	35.000000	177	0	103	0	0	0	0	0	0
Zfp78	34.875000	0	0	0	0	0	279	0	0	0
Usp22	34.875000	162	0	0	0	0	117	0	0	0
Uso1	34.875000	151	0	128	0	0	0	0	0	0
Rpl28	34.875000	167	0	112	0	0	0	0	0	0
Cyp4f13	34.875000	130	0	0	0	0	149	0	0	0
Zbtb41	34.750000	0	0	102	0	0	176	0	0	0
Tnk2	34.750000	0	0	0	0	0	278	0	0	0
Npepps	34.750000	0	0	0	0	0	278	0	0	0
Mbd4	34.750000	0	0	183	0	0	95	0	0	0
Ift122	34.750000	0	0	183	0	0	95	0	0	0
Top2a	34.625000	0	0	183	0	94	0	0	0	0
Pip4k2a	34.625000	94	0	183	0	0	0	0	0	0
Dyrk1a	34.625000	87	0	0	0	77	113	0	0	0
Dpf2	34.625000	157	0	120	0	0	0	0	0	0
Zfp809	34.500000	157	0	0	0	0	119	0	0	0
Zbtb17	34.500000	139	0	0	0	0	137	0	0	0
Uqcrc1	34.500000	148	0	128	0	0	0	0	0	0
Shmt1	34.500000	0	0	0	0	0	276	0	0	0
Ift140	34.500000	130	0	146	0	0	0	0	0	0
Hgs	34.500000	103	0	173	0	0	0	0	0	0
Enpp7	34.500000	0	0	0	0	0	276	0	0	0
Dpm2	34.500000	139	0	0	0	0	137	0	0	0
Deaf1	34.500000	130	0	146	0	0	0	0	0	0
Dcaf10	34.500000	121	0	155	0	0	0	0	0	0
Cramp1l	34.500000	130	0	146	0	0	0	0	0	0
Atox1	34.500000	130	0	146	0	0	0	0	0	0
Arl16	34.500000	103	0	173	0	0	0	0	0	0
Aph1c	34.500000	0	0	0	0	0	182	0	94	0
Abcd4	34.500000	167	0	0	0	0	109	0	0	0
Traf3	34.375000	155	0	120	0	0	0	0	0	0
Sec24b	34.375000	0	0	0	0	0	275	0	0	0
Pcid2	34.375000	0	0	137	0	0	138	0	0	0
Ifrd2	34.375000	177	0	0	0	0	98	0	0	0
Epg5	34.375000	139	0	0	0	0	136	0	0	0
Ddx47	34.375000	0	0	103	0	0	172	0	0	0
Cul4a	34.375000	0	0	137	0	0	138	0	0	0
Txlnb	34.250000	0	0	0	0	0	274	0	0	0
Rplp1	34.250000	144	0	0	0	130	0	0	0	0
Hnrnpd	34.250000	180	0	0	0	94	0	0	0	0
Sdf4	34.125000	131	0	0	0	0	142	0	0	0
Hnrnpa3	34.125000	75	0	74	0	0	124	0	0	0
Ctdp1	34.125000	95	0	0	0	0	178	0	0	0
B3galt6	34.125000	131	0	0	0	0	142	0	0	0
Arid3b	34.125000	0	0	273	0	0	0	0	0	0
Sec22b	34.000000	167	0	0	0	0	105	0	0	0
Saal1	34.000000	0	0	0	0	0	272	0	0	0
Trpm3	33.875000	0	0	0	0	0	271	0	0	0
Tmco4	33.875000	0	0	0	0	0	271	0	0	0
Tab3	33.875000	86	0	0	0	0	185	0	0	0
Slc25a45	33.875000	130	0	0	0	0	141	0	0	0
Rnf19b	33.875000	164	0	107	0	0	0	0	0	0
Gch1	33.875000	0	0	0	0	0	271	0	0	0
Cdc5l	33.875000	95	0	176	0	0	0	0	0	0
Btbd19	33.875000	0	0	0	0	0	271	0	0	0
Tpr	33.750000	73	0	0	0	0	197	0	0	0
Tmem208	33.750000	0	0	0	0	0	270	0	0	0
Odr4	33.750000	73	0	0	0	0	197	0	0	0
Mfsd14a	33.750000	0	0	137	0	0	133	0	0	0
Lrrc29	33.750000	0	0	0	0	0	270	0	0	0
Gins3	33.750000	0	0	137	0	0	133	0	0	0
Tnip3	33.625000	0	0	0	0	0	269	0	0	0
Spag1	33.625000	0	0	0	0	0	269	0	0	0
Snrpe	33.625000	157	0	0	0	0	112	0	0	0
Ppp1r3b	33.625000	0	0	0	0	0	269	0	0	0
Klre1	33.625000	111	0	0	0	0	158	0	0	0
Fyn	33.625000	0	0	0	0	94	175	0	0	0
Usp6nl	33.500000	0	0	0	0	0	268	0	0	0
Sla2	33.500000	0	0	0	0	0	268	0	0	0
Milr1	33.500000	268	0	0	0	0	0	0	0	0
Ap3s2	33.500000	0	0	0	0	0	268	0	0	0
Aacs	33.500000	112	0	0	0	0	156	0	0	0
Washc2	33.375000	103	0	164	0	0	0	0	0	0
Tmem270	33.375000	0	0	0	0	0	156	111	0	0
Tfip11	33.375000	121	0	146	0	0	0	0	0	0
Scyl1	33.375000	121	0	146	0	0	0	0	0	0
Rbm34	33.375000	0	0	0	0	0	267	0	0	0
Pex2	33.375000	106	0	161	0	0	0	0	0	0
Nsg2	33.375000	0	0	0	0	0	104	163	0	0
Nsa2	33.375000	86	0	0	0	0	181	0	0	0
Hnrnpul1	33.375000	91	0	176	0	0	0	0	0	0
Gopc	33.375000	130	0	0	0	137	0	0	0	0
Gfm2	33.375000	86	0	0	0	0	181	0	0	0
Fbxo48	33.375000	130	0	0	0	0	137	0	0	0
Brwd1	33.375000	156	0	111	0	0	0	0	0	0
Psmb5	33.250000	266	0	0	0	0	0	0	0	0
Phldb1	33.250000	0	0	0	0	0	266	0	0	0
Ipo11	33.250000	0	0	0	0	0	266	0	0	0
Gbp10	33.250000	0	0	0	0	0	266	0	0	0
Arrdc4	33.250000	0	0	103	0	0	163	0	0	0
Txndc9	33.125000	106	0	0	0	0	159	0	0	0
Tbk1	33.125000	265	0	0	0	0	0	0	0	0
Rnpc3	33.125000	177	0	88	0	0	0	0	0	0
Ptpn12	33.125000	128	0	137	0	0	0	0	0	0
Psph	33.125000	95	0	0	0	0	170	0	0	0
Psmd7	33.125000	177	0	88	0	0	0	0	0	0
Eif5b	33.125000	106	0	0	0	0	159	0	0	0
Cln3	33.125000	0	0	0	0	0	265	0	0	0
Cct6a	33.125000	95	0	0	0	0	170	0	0	0
Abhd1	33.125000	121	0	0	0	0	144	0	0	0
Zfp945	33.000000	264	0	0	0	0	0	0	0	0
Tmsb4x	33.000000	114	0	150	0	0	0	0	0	0
Il18	33.000000	0	0	0	0	0	264	0	0	0
Bco2	33.000000	0	0	0	0	0	264	0	0	0
Stk17b	32.875000	126	0	137	0	0	0	0	0	0
Rnf114	32.875000	0	0	0	0	0	263	0	0	0
Preb	32.875000	263	0	0	0	0	0	0	0	0
Lzts3	32.875000	0	0	0	0	0	263	0	0	0
Klrb1c	32.875000	0	0	0	0	0	263	0	0	0
Ism1	32.875000	0	0	0	0	0	263	0	0	0
Hdac4	32.875000	103	0	0	0	0	160	0	0	0
Ffar2	32.875000	0	0	0	0	0	263	0	0	0
Cops6	32.875000	187	0	0	0	0	76	0	0	0
Agpat4	32.875000	0	0	0	0	0	263	0	0	0
Tbc1d22a	32.750000	0	0	0	0	0	262	0	0	0
Spef2	32.750000	0	0	0	0	0	147	0	115	0
Sec14l1	32.750000	0	0	0	0	0	262	0	0	0
Retreg2	32.750000	174	0	88	0	0	0	0	0	0
Nfu1	32.750000	0	0	0	0	0	262	0	0	0
Map2k6	32.750000	0	0	0	0	0	262	0	0	0
Ltn1	32.750000	0	0	155	0	0	107	0	0	0
Dctn4	32.750000	0	0	88	0	0	174	0	0	0
Cnppd1	32.750000	174	0	88	0	0	0	0	0	0
Cdiptos	32.750000	0	0	0	0	0	262	0	0	0
Cdipt	32.750000	0	0	0	0	0	262	0	0	0
Selenot	32.625000	0	0	0	0	0	261	0	0	0
Sclt1	32.625000	0	0	128	0	0	133	0	0	0
Pcmt1	32.625000	119	0	0	0	0	142	0	0	0
Lck	32.625000	0	0	0	0	0	261	0	0	0
D3Ertd751e	32.625000	0	0	128	0	0	133	0	0	0
Abi2	32.625000	0	0	0	0	0	261	0	0	0
Uba52	32.500000	114	0	146	0	0	0	0	0	0
Ttc17	32.500000	157	0	103	0	0	0	0	0	0
Selplg	32.500000	260	0	0	0	0	0	0	0	0
Rffl	32.500000	0	0	0	0	0	260	0	0	0
Ppp2cb	32.500000	148	0	0	0	0	112	0	0	0
Pcnx3	32.500000	0	0	0	0	0	260	0	0	0
Osmr	32.500000	0	0	0	0	0	260	0	0	0
Map3k11	32.500000	0	0	0	0	0	260	0	0	0
Gpr108	32.500000	260	0	0	0	0	0	0	0	0
Dek	32.500000	0	0	0	0	0	260	0	0	0
Cnot8	32.500000	148	0	112	0	0	0	0	0	0
Acaa2	32.500000	0	0	0	0	0	260	0	0	0
Zfp53	32.375000	0	0	0	0	0	259	0	0	0
Xaf1	32.375000	0	0	0	0	0	259	0	0	0
Tomt	32.375000	157	0	0	0	102	0	0	0	0
Tbc1d2	32.375000	139	0	120	0	0	0	0	0	0
Rps3a1	32.375000	259	0	0	0	0	0	0	0	0
Lamtor1	32.375000	157	0	0	0	102	0	0	0	0
Gtf2b	32.375000	259	0	0	0	0	0	0	0	0
Chchd2	32.375000	139	0	0	0	120	0	0	0	0
Aspm	32.375000	0	0	0	0	0	259	0	0	0
Zfp617	32.250000	130	0	128	0	0	0	0	0	0
Tmem175	32.250000	112	0	146	0	0	0	0	0	0
Tapt1	32.250000	121	0	137	0	0	0	0	0	0
Rpl7a	32.250000	112	0	146	0	0	0	0	0	0
Prss41	32.250000	0	0	0	0	0	258	0	0	0
Ncapg2	32.250000	0	0	0	0	0	258	0	0	0
Med22	32.250000	112	0	146	0	0	0	0	0	0
Gak	32.250000	112	0	146	0	0	0	0	0	0
Ep300	32.250000	130	0	128	0	0	0	0	0	0
Copg1	32.250000	130	0	128	0	0	0	0	0	0
Ckap2l	32.250000	0	0	164	0	94	0	0	0	0
Scn1b	32.125000	0	0	0	0	0	257	0	0	0
Ppm1d	32.125000	148	0	0	0	0	109	0	0	0
Nup50	32.125000	120	0	137	0	0	0	0	0	0
Nufip2	32.125000	145	0	112	0	0	0	0	0	0
Mon2	32.125000	257	0	0	0	0	0	0	0	0
Fignl1	32.125000	167	0	0	0	0	90	0	0	0
Eif5	32.125000	133	0	124	0	0	0	0	0	0
Camk1d	32.125000	0	0	0	0	0	257	0	0	0
Safb2	32.000000	119	0	137	0	0	0	0	0	0
Safb	32.000000	119	0	137	0	0	0	0	0	0
Polr2f	32.000000	0	0	137	0	0	119	0	0	0
Nedd8	32.000000	103	0	0	0	0	153	0	0	0
Maco1	32.000000	128	0	128	0	0	0	0	0	0
Lmbrd1	32.000000	0	0	120	0	0	136	0	0	0
Knl1	32.000000	112	0	0	0	0	144	0	0	0
Hipk1	32.000000	127	0	0	0	0	129	0	0	0
Gmpr2	32.000000	103	0	0	0	0	153	0	0	0
Dbp	32.000000	0	0	0	0	0	256	0	0	0
1700088E04Rik	32.000000	0	0	137	0	0	119	0	0	0
Tnrc6c	31.875000	0	0	127	0	128	0	0	0	0
Spata17	31.875000	0	0	0	0	0	255	0	0	0
Gpatch2	31.875000	0	0	0	0	0	255	0	0	0
Exosc9	31.875000	0	0	0	0	0	255	0	0	0
Slc28a2	31.750000	0	0	0	0	0	254	0	0	0
Sdhb	31.750000	126	0	128	0	0	0	0	0	0
Rac3	31.750000	0	0	0	0	0	120	134	0	0
Ppp2r5b	31.750000	0	0	0	0	0	254	0	0	0
Nagk	31.750000	0	0	150	0	0	104	0	0	0
Malsu1	31.750000	0	0	80	0	0	174	0	0	0
Ifi47	31.750000	0	0	0	0	0	254	0	0	0
Brd3	31.750000	0	0	128	0	0	126	0	0	0
Slc39a1	31.625000	0	0	0	0	0	253	0	0	0
Rps9	31.625000	114	0	0	0	139	0	0	0	0
Rap1a	31.625000	0	0	0	0	0	253	0	0	0
Ppp3ca	31.625000	0	0	137	0	0	116	0	0	0
Hnrnph1	31.625000	158	0	95	0	0	0	0	0	0
Exosc6	31.625000	0	0	164	0	0	89	0	0	0
Edem3	31.625000	125	0	128	0	0	0	0	0	0
Anapc11	31.625000	141	0	112	0	0	0	0	0	0
Alyref	31.625000	141	0	112	0	0	0	0	0	0
Rps6ka5	31.500000	91	0	0	0	0	161	0	0	0
Prf1	31.500000	252	0	0	0	0	0	0	0	0
Ppp3cc	31.500000	131	0	0	0	0	121	0	0	0
Ndst1	31.500000	0	0	0	0	0	252	0	0	0
Hibadh	31.500000	0	0	0	0	130	122	0	0	0
Gga1	31.500000	131	0	0	0	0	121	0	0	0
Chtop	31.500000	252	0	0	0	0	0	0	0	0
Apba1	31.500000	0	0	0	0	0	252	0	0	0
Ran	31.375000	148	0	103	0	0	0	0	0	0
Psme3	31.375000	0	0	0	0	0	251	0	0	0
Mga	31.375000	148	0	0	0	0	103	0	0	0
Lyrm2	31.375000	121	0	0	0	0	130	0	0	0
Inpp5k	31.375000	89	0	80	0	0	82	0	0	0
Cfap20	31.375000	0	0	144	0	0	107	0	0	0
Bsdc1	31.375000	148	0	103	0	0	0	0	0	0
Xbp1	31.250000	96	0	154	0	0	0	0	0	0
Tmx1	31.250000	130	0	120	0	0	0	0	0	0
Ptpn11	31.250000	130	0	120	0	0	0	0	0	0
Phf11a	31.250000	0	0	0	0	0	250	0	0	0
Nek4	31.250000	130	0	120	0	0	0	0	0	0
Kmt2e	31.250000	101	0	0	0	0	149	0	0	0
Erbin	31.250000	0	0	0	0	0	250	0	0	0
Ddx20	31.250000	0	0	103	0	0	147	0	0	0
C030006K11Rik	31.250000	0	0	0	0	139	111	0	0	0
Adnp	31.250000	99	0	0	0	0	151	0	0	0
U2af1	31.125000	112	0	137	0	0	0	0	0	0
Tsen54	31.125000	0	0	0	0	0	149	100	0	0
Sdcbp	31.125000	0	0	0	0	0	249	0	0	0
Ptp4a1	31.125000	0	0	249	0	0	0	0	0	0
Psmd8	31.125000	103	0	146	0	0	0	0	0	0
Ppfia4	31.125000	0	0	0	0	0	249	0	0	0
Morf4l1	31.125000	137	0	0	0	0	0	112	0	0
Micos10	31.125000	121	0	128	0	0	0	0	0	0
Keap1	31.125000	0	0	0	0	0	249	0	0	0
Ccser2	31.125000	0	0	155	0	0	94	0	0	0
Caskin2	31.125000	0	0	0	0	0	149	100	0	0
Alg1	31.125000	0	0	0	0	0	249	0	0	0
Zfp292	31.000000	112	0	0	0	0	136	0	0	0
Ube4a	31.000000	248	0	0	0	0	0	0	0	0
Spryd7	31.000000	0	0	0	0	0	248	0	0	0
Ndufs5	31.000000	248	0	0	0	0	0	0	0	0
Ints5	31.000000	0	0	0	0	0	248	0	0	0
Hipk3	31.000000	130	0	0	0	0	0	0	118	0
Gpr174	31.000000	248	0	0	0	0	0	0	0	0
G3bp1	31.000000	148	0	0	0	0	100	0	0	0
Ttc9c	30.875000	114	0	133	0	0	0	0	0	0
Setmar	30.875000	0	0	0	0	0	247	0	0	0
Lrch4	30.875000	146	0	0	0	101	0	0	0	0
Hnrnpul2	30.875000	114	0	133	0	0	0	0	0	0
Txn1	30.750000	0	0	0	0	0	246	0	0	0
Txk	30.750000	246	0	0	0	0	0	0	0	0
Syncrip	30.750000	97	0	149	0	0	0	0	0	0
Supt5	30.750000	246	0	0	0	0	0	0	0	0
Pdlim1	30.750000	0	0	0	0	0	246	0	0	0
Gfpt1	30.750000	0	0	246	0	0	0	0	0	0
Fbh1	30.750000	0	0	137	0	0	109	0	0	0
Dop1b	30.750000	103	0	0	0	0	143	0	0	0
D2hgdh	30.750000	0	0	0	0	0	246	0	0	0
Cd74	30.750000	0	0	0	0	0	246	0	0	0
Ccdc6	30.750000	0	0	0	0	0	246	0	0	0
Ccdc126	30.750000	0	0	119	0	0	127	0	0	0
Ankrd16	30.750000	0	0	137	0	0	109	0	0	0
Zeb2	30.625000	0	0	0	0	0	245	0	0	0
Wdsub1	30.625000	0	0	137	0	0	108	0	0	0
Prpf19	30.625000	0	0	128	0	0	117	0	0	0
Mdn1	30.625000	0	0	0	0	0	245	0	0	0
Grap2	30.625000	0	0	0	0	0	245	0	0	0
Asap1	30.625000	0	0	131	0	0	114	0	0	0
Ttc41	30.500000	0	0	119	0	0	125	0	0	0
Sgk1	30.500000	0	0	112	0	132	0	0	0	0
Rmdn3	30.500000	0	0	0	0	0	244	0	0	0
Nr4a3	30.500000	0	0	0	0	0	244	0	0	0
Msmo1	30.500000	148	0	96	0	0	0	0	0	0
Klhl3	30.500000	0	0	0	0	0	244	0	0	0
Hsp90b1	30.500000	0	0	119	0	0	125	0	0	0
Eif3h	30.500000	0	0	0	0	111	133	0	0	0
Btaf1	30.500000	0	0	0	0	0	244	0	0	0
Tbc1d17	30.375000	126	0	0	0	117	0	0	0	0
Spcs3	30.375000	0	0	0	0	0	243	0	0	0
Pdcd4	30.375000	243	0	0	0	0	0	0	0	0
Napa	30.375000	0	0	80	0	0	163	0	0	0
Lats1	30.375000	112	0	0	0	0	131	0	0	0
Jak1	30.375000	89	0	154	0	0	0	0	0	0
E2f3	30.375000	0	0	0	0	0	243	0	0	0
Capn10	30.375000	139	0	0	0	0	104	0	0	0
Akt1s1	30.375000	126	0	0	0	117	0	0	0	0
Yme1l1	30.250000	139	0	103	0	0	0	0	0	0
St8sia4	30.250000	110	0	0	0	0	132	0	0	0
Serf2	30.250000	130	0	112	0	0	0	0	0	0
Scfd1	30.250000	139	0	103	0	0	0	0	0	0
Mastl	30.250000	139	0	103	0	0	0	0	0	0
Kpna3	30.250000	154	0	88	0	0	0	0	0	0
Itpr1	30.250000	0	0	0	0	0	242	0	0	0
Epb41	30.250000	139	0	103	0	0	0	0	0	0
Ccnl2	30.250000	139	0	103	0	0	0	0	0	0
Btbd7	30.250000	0	0	146	0	0	96	0	0	0
Ap3d1	30.250000	0	0	128	0	0	114	0	0	0
Afg1l	30.250000	103	0	0	0	0	139	0	0	0
Umad1	30.125000	121	0	120	0	0	0	0	0	0
Stx6	30.125000	0	0	0	0	0	241	0	0	0
Shprh	30.125000	157	0	0	0	0	84	0	0	0
Rpa3	30.125000	121	0	120	0	0	0	0	0	0
Pold2	30.125000	0	0	146	0	0	95	0	0	0
Phc2	30.125000	121	0	120	0	0	0	0	0	0
Lsm2	30.125000	146	0	95	0	0	0	0	0	0
Il4i1	30.125000	241	0	0	0	0	0	0	0	0
Ddx19a	30.125000	0	0	0	0	0	241	0	0	0
Atp8b4	30.125000	0	0	0	0	0	241	0	0	0
Vcp	30.000000	0	0	146	0	94	0	0	0	0
Uqcrh	30.000000	240	0	0	0	0	0	0	0	0
Tubd1	30.000000	112	0	128	0	0	0	0	0	0
Tial1	30.000000	111	0	0	0	0	129	0	0	0
Rps6kb1	30.000000	112	0	128	0	0	0	0	0	0
Pigf	30.000000	0	0	120	0	120	0	0	0	0
Pan3	30.000000	103	0	137	0	0	0	0	0	0
Nprl2	30.000000	0	0	0	0	0	240	0	0	0
Lrrc41	30.000000	240	0	0	0	0	0	0	0	0
Hp1bp3	30.000000	0	0	110	0	130	0	0	0	0
Fancc	30.000000	145	0	95	0	0	0	0	0	0
Cyb561d2	30.000000	0	0	0	0	0	240	0	0	0
Cript	30.000000	0	0	120	0	120	0	0	0	0
Ywhaz	29.875000	93	0	0	0	0	146	0	0	0
Uba6	29.875000	112	0	0	0	0	127	0	0	0
Supv3l1	29.875000	112	0	0	0	0	127	0	0	0
Sri	29.875000	0	0	0	0	0	239	0	0	0
Rcn2	29.875000	0	0	0	0	0	239	0	0	0
Ptk2	29.875000	0	0	0	0	0	239	0	0	0
Ppib	29.875000	0	0	128	0	111	0	0	0	0
Nedd9	29.875000	0	0	0	0	0	239	0	0	0
Klhl42	29.875000	0	0	0	0	0	239	0	0	0
Aurkaip1	29.875000	86	0	0	0	0	153	0	0	0
Adprhl2	29.875000	139	0	0	0	0	0	100	0	0
Abl2	29.875000	0	0	137	0	0	102	0	0	0
Trir	29.750000	110	0	128	0	0	0	0	0	0
Trip13	29.750000	238	0	0	0	0	0	0	0	0
Sh2b1	29.750000	0	0	0	0	0	238	0	0	0
Rora	29.750000	0	0	155	0	0	83	0	0	0
Nxf2	29.750000	0	0	0	0	0	238	0	0	0
Lgals3	29.750000	238	0	0	0	0	0	0	0	0
Dhx35	29.750000	118	0	0	0	120	0	0	0	0
Brd9	29.750000	238	0	0	0	0	0	0	0	0
Apc	29.750000	238	0	0	0	0	0	0	0	0
Acyp1	29.750000	238	0	0	0	0	0	0	0	0
Nbeal1	29.625000	109	0	128	0	0	0	0	0	0
Hmgxb4	29.625000	0	0	65	0	0	172	0	0	0
Zfp524	29.500000	236	0	0	0	0	0	0	0	0
Vps18	29.500000	0	0	0	0	0	236	0	0	0
Slain2	29.500000	120	0	116	0	0	0	0	0	0
Prkab1	29.500000	121	0	0	0	0	115	0	0	0
Ppp2r5a	29.500000	84	0	152	0	0	0	0	0	0
Pnisr	29.500000	236	0	0	0	0	0	0	0	0
Irak2	29.500000	0	0	0	0	0	236	0	0	0
Hddc2	29.500000	0	0	0	0	0	236	0	0	0
