"","c1","c2","c3","gene"
"Gna15",7,7,7,"Gna15"
"Kif3a",7,7,7,"Kif3a"
"Zfp821.1",4,4,4,"Zfp821.1"
"Snx25.1",4,4,4,"Snx25.1"
"Polr2d.1",3,3,3,"Polr2d.1"
"9530077C05Rik",4,4,4,"9530077C05Rik"
"Pigc",6,6,6,"Pigc"
"2310016C08Rik",4,4,4,"2310016C08Rik"
"Cox7a1",4,4,4,"Cox7a1"
"Ccdc28b",4,4,4,"Ccdc28b"
"2810474O19Rik",5,5,5,"2810474O19Rik"
"OTTMUSG00000005491",1,1,1,"OTTMUSG00000005491"
"Chek2",4,4,4,"Chek2"
"M6prbp1",4,4,4,"M6prbp1"
"2210012G02Rik",4,4,4,"2210012G02Rik"
"Ostf1",5,5,5,"Ostf1"
"H3f3a",6,6,6,"H3f3a"
"Frg1",7,7,7,"Frg1"
"Dgcr6.1",4,4,4,"Dgcr6.1"
"Smtn.1",7,7,7,"Smtn.1"
"Hes6",2,2,2,"Hes6"
"Hist1h4k",1,1,1,"Hist1h4k"
"6820408C15Rik",7,7,7,"6820408C15Rik"
"Rapsn",7,7,7,"Rapsn"
"Egln1.1",4,4,4,"Egln1.1"
"Actr3b.1",1,1,1,"Actr3b.1"
"Pex26",2,2,2,"Pex26"
"Kif14.1",7,7,7,"Kif14.1"
"Bnip3l",2,2,2,"Bnip3l"
"Dscr3",4,4,4,"Dscr3"
"Med28",3,3,3,"Med28"
"BC046404.1",4,4,4,"BC046404.1"
"Hist1h4k.1",1,1,1,"Hist1h4k.1"
"Wdr60",3,3,3,"Wdr60"
"Scly",1,1,1,"Scly"
"Dapk2",1,1,1,"Dapk2"
"Mina.1",6,6,6,"Mina.1"
"Nasp.2",3,3,3,"Nasp.2"
"Edem2.2",7,7,7,"Edem2.2"
"Fbxo36",4,4,4,"Fbxo36"
"Ift74.1",3,3,3,"Ift74.1"
"Tlk1",5,5,5,"Tlk1"
"Ccdc88a",7,7,7,"Ccdc88a"
"Map2k6.1",2,2,2,"Map2k6.1"
"Clic4.1",3,3,3,"Clic4.1"
"Sp1",4,4,4,"Sp1"
"Srrm2.1",8,8,8,"Srrm2.1"
"Il18",1,1,1,"Il18"
"Tmem70.1",3,3,3,"Tmem70.1"
"Il8ra",1,1,1,"Il8ra"
"Il12rb1",3,3,3,"Il12rb1"
"Nosip.1",4,4,4,"Nosip.1"
"Dctn4",2,2,2,"Dctn4"
"Degs1",5,5,5,"Degs1"
"Npal3",2,2,2,"Npal3"
"Rcc2",3,3,3,"Rcc2"
"Hist3h2bb",1,1,1,"Hist3h2bb"
"Thoc4.1",3,3,3,"Thoc4.1"
"Rab9.1",4,4,4,"Rab9.1"
"5230400G24Rik.1",4,4,4,"5230400G24Rik.1"
"Tmed4.2",2,2,2,"Tmed4.2"
"Csf1",3,3,3,"Csf1"
"Trafd1",1,1,1,"Trafd1"
"Mmp17",7,7,7,"Mmp17"
"Smpdl3b",3,3,3,"Smpdl3b"
"Centa1.2",4,4,4,"Centa1.2"
"Cap1",6,6,6,"Cap1"
"Nfx1",7,7,7,"Nfx1"
"Orc1l",3,3,3,"Orc1l"
"Matk.2",2,2,2,"Matk.2"
"Gm561",6,6,6,"Gm561"
"Dhrs7.1",1,1,1,"Dhrs7.1"
"Spata6",2,2,2,"Spata6"
"Hspa1b",7,7,7,"Hspa1b"
"Zmym3.1",2,2,2,"Zmym3.1"
"Pik3cg",2,2,2,"Pik3cg"
"Xbp1",7,7,7,"Xbp1"
"Echs1",3,3,3,"Echs1"
"Snx10",1,1,1,"Snx10"
"Ccdc28b.1",4,4,4,"Ccdc28b.1"
"Tmem176b",7,7,7,"Tmem176b"
"Car9",4,4,4,"Car9"
"Amfr.1",6,6,6,"Amfr.1"
"Repin1.1",7,7,7,"Repin1.1"
"H2-DMb2",8,8,8,"H2-DMb2"
"Hist2h4",1,1,1,"Hist2h4"
"Slc10a7.2",4,4,4,"Slc10a7.2"
"Lca5.1",4,4,4,"Lca5.1"
"Foxp3.1",6,6,6,"Foxp3.1"
"Spcs2",1,1,1,"Spcs2"
"Anxa2",4,4,4,"Anxa2"
"Arhgef2.1",3,3,3,"Arhgef2.1"
"Nt5dc2",3,3,3,"Nt5dc2"
"Hdac6",4,4,4,"Hdac6"
"C530028I08Rik",4,4,4,"C530028I08Rik"
"Ociad2",1,1,1,"Ociad2"
"Snapc3.2",3,3,3,"Snapc3.2"
"Tspan31",3,3,3,"Tspan31"
"Avpi1",4,4,4,"Avpi1"
"Zbtb32.1",3,3,3,"Zbtb32.1"
"Srpr",3,3,3,"Srpr"
"Echdc3",3,3,3,"Echdc3"
"Gcnt1.2",1,1,1,"Gcnt1.2"
"Ncf1",1,1,1,"Ncf1"
"Slc7a14.1",7,7,7,"Slc7a14.1"
"l7Rn6",3,3,3,"l7Rn6"
"Sp6.1",8,8,8,"Sp6.1"
"Upp1.1",1,1,1,"Upp1.1"
"Tial1.1",4,4,4,"Tial1.1"
"Tgoln1.1",8,8,8,"Tgoln1.1"
"Slfn1",5,5,5,"Slfn1"
"Atg9a",2,2,2,"Atg9a"
"Kctd6",8,8,8,"Kctd6"
"Ms4a6b",1,1,1,"Ms4a6b"
"Isoc1",7,7,7,"Isoc1"
"Gls2.1",4,4,4,"Gls2.1"
"Rnf181",2,2,2,"Rnf181"
"2700097O09Rik",3,3,3,"2700097O09Rik"
"Tex9.1",1,1,1,"Tex9.1"
"Cep170.1",4,4,4,"Cep170.1"
"Pak4",7,7,7,"Pak4"
"Nt5e",5,5,5,"Nt5e"
"Exod1",1,1,1,"Exod1"
"Adar.3",1,1,1,"Adar.3"
"Cdc42se1.1",6,6,6,"Cdc42se1.1"
"Cep55",4,4,4,"Cep55"
"Phf1.1",8,8,8,"Phf1.1"
"Tmsb10.1",5,5,5,"Tmsb10.1"
"Leprel2",7,7,7,"Leprel2"
"Afg3l2",7,7,7,"Afg3l2"
"Tm4sf5",3,3,3,"Tm4sf5"
"Mgst3",2,2,2,"Mgst3"
"Pkp2.1",4,4,4,"Pkp2.1"
"C76566.2",4,4,4,"C76566.2"
"Rdh10",7,7,7,"Rdh10"
"Pdzk1ip1",3,3,3,"Pdzk1ip1"
"Myst2",4,4,4,"Myst2"
"Gm561.1",6,6,6,"Gm561.1"
"Gltscr2",7,7,7,"Gltscr2"
"Pkm2",4,4,4,"Pkm2"
"Cnot4.1",8,8,8,"Cnot4.1"
"Cdc42ep2",4,4,4,"Cdc42ep2"
"Trerf1",4,4,4,"Trerf1"
"Spcs3",7,7,7,"Spcs3"
"H2-K1",5,5,5,"H2-K1"
"Il12rb1.1",3,3,3,"Il12rb1.1"
"Oxa1l",4,4,4,"Oxa1l"
"Trafd1.1",1,1,1,"Trafd1.1"
"2510003E04Rik",4,4,4,"2510003E04Rik"
"Il10rb",1,1,1,"Il10rb"
"Tctex1d1.1",1,1,1,"Tctex1d1.1"
"Ttc9c.1",3,3,3,"Ttc9c.1"
"Rhoh",5,5,5,"Rhoh"
"Psmb2.1",3,3,3,"Psmb2.1"
"4933407P14Rik.1",6,6,6,"4933407P14Rik.1"
"Bik",4,4,4,"Bik"
"Muted.2",3,3,3,"Muted.2"
"Nedd4l",7,7,7,"Nedd4l"
"Hist1h1a",1,1,1,"Hist1h1a"
"Cox5b",3,3,3,"Cox5b"
"Crmp1",1,1,1,"Crmp1"
"Fbxo44",4,4,4,"Fbxo44"
"Vps29.1",3,3,3,"Vps29.1"
"EG433923",3,3,3,"EG433923"
"Fmnl3.2",8,8,8,"Fmnl3.2"
"Alg8.2",6,6,6,"Alg8.2"
"Gpx4.1",4,4,4,"Gpx4.1"
"Grik5",2,2,2,"Grik5"
"Tardbp.1",3,3,3,"Tardbp.1"
"Sla2",5,5,5,"Sla2"
"St8sia4.2",1,1,1,"St8sia4.2"
"Thap1.1",3,3,3,"Thap1.1"
"Tmem184b",1,1,1,"Tmem184b"
"Erp29",7,7,7,"Erp29"
"Furin",3,3,3,"Furin"
"Tmtc2",3,3,3,"Tmtc2"
"Coro1b.1",2,2,2,"Coro1b.1"
"Kctd12b.2",5,5,5,"Kctd12b.2"
"Zzz3.1",6,6,6,"Zzz3.1"
"Ifitm3",1,1,1,"Ifitm3"
"Rad51c.1",3,3,3,"Rad51c.1"
"H28",1,1,1,"H28"
"Parp16",2,2,2,"Parp16"
"Pigf",3,3,3,"Pigf"
"Ercc3",6,6,6,"Ercc3"
"Polr2d.2",3,3,3,"Polr2d.2"
"Tmem106c",4,4,4,"Tmem106c"
"Ripk4.1",7,7,7,"Ripk4.1"
"Gstm1",4,4,4,"Gstm1"
"Nbl1.1",1,1,1,"Nbl1.1"
"C1qtnf1",1,1,1,"C1qtnf1"
"Prdx5",4,4,4,"Prdx5"
"Taf9.1",3,3,3,"Taf9.1"
"Ascc1.1",2,2,2,"Ascc1.1"
"Insl3.1",2,2,2,"Insl3.1"
"Spag6",1,1,1,"Spag6"
"Amica1",1,1,1,"Amica1"
"Gck",4,4,4,"Gck"
"Myt1l.1",7,7,7,"Myt1l.1"
"Mapk12.1",8,8,8,"Mapk12.1"
"Fancl.1",1,1,1,"Fancl.1"
"Snx27.2",6,6,6,"Snx27.2"
"Car5b",1,1,1,"Car5b"
"Mgmt",4,4,4,"Mgmt"
"Prkra",4,4,4,"Prkra"
"Trpc4ap.1",7,7,7,"Trpc4ap.1"
"Qars",4,4,4,"Qars"
"Scd1",4,4,4,"Scd1"
"Hrc",7,7,7,"Hrc"
"Oas1g.3",1,1,1,"Oas1g.3"
"Nudt22",4,4,4,"Nudt22"
"1700023B02Rik.1",7,7,7,"1700023B02Rik.1"
"Plod2",4,4,4,"Plod2"
"Slc37a3",8,8,8,"Slc37a3"
"Ncaph2.2",4,4,4,"Ncaph2.2"
"Kif3b",4,4,4,"Kif3b"
"Lpin1",7,7,7,"Lpin1"
"Slc22a17",2,2,2,"Slc22a17"
"Hap1.2",1,1,1,"Hap1.2"
"Zcchc18.1",8,8,8,"Zcchc18.1"
"Fert2",4,4,4,"Fert2"
"Ptpla",3,3,3,"Ptpla"
"Ncapd2",4,4,4,"Ncapd2"
"2410129H14Rik",4,4,4,"2410129H14Rik"
"Gpr89",3,3,3,"Gpr89"
"Tbc1d1.1",4,4,4,"Tbc1d1.1"
"Il19",7,7,7,"Il19"
"Dnajb13",2,2,2,"Dnajb13"
"Dbi.1",3,3,3,"Dbi.1"
"Wipi2.1",8,8,8,"Wipi2.1"
"Ifi44.1",1,1,1,"Ifi44.1"
"Tnfaip1",6,6,6,"Tnfaip1"
"Glipr2",7,7,7,"Glipr2"
"Myo6.1",7,7,7,"Myo6.1"
"2810474O19Rik.1",5,5,5,"2810474O19Rik.1"
"Inpp4b.1",6,6,6,"Inpp4b.1"
"4931440B09Rik",2,2,2,"4931440B09Rik"
"Mcm6.2",3,3,3,"Mcm6.2"
"Ccdc123",4,4,4,"Ccdc123"
"Pdk1",4,4,4,"Pdk1"
"Duxbl",1,1,1,"Duxbl"
"Prlr.1",7,7,7,"Prlr.1"
"Nipsnap1",4,4,4,"Nipsnap1"
"Hist2h2bb",1,1,1,"Hist2h2bb"
"Stat1.1",5,5,5,"Stat1.1"
"Il10ra",2,2,2,"Il10ra"
"Bsg",1,1,1,"Bsg"
"Mdm1.5",4,4,4,"Mdm1.5"
"Ifitm1.1",1,1,1,"Ifitm1.1"
"Dym",4,4,4,"Dym"
"Mpp7",3,3,3,"Mpp7"
"Artn.2",4,4,4,"Artn.2"
"Snapin",2,2,2,"Snapin"
"Cdc42ep4",4,4,4,"Cdc42ep4"
"H2-T23.1",5,5,5,"H2-T23.1"
"Sepx1",4,4,4,"Sepx1"
"Chpt1.1",4,4,4,"Chpt1.1"
"Blvrb",2,2,2,"Blvrb"
"Ltk",2,2,2,"Ltk"
"Evi5",3,3,3,"Evi5"
"Nkg7",1,1,1,"Nkg7"
"Tpr.2",6,6,6,"Tpr.2"
"Rab11fip2.1",5,5,5,"Rab11fip2.1"
"H2-Q6",5,5,5,"H2-Q6"
"Gm347",3,3,3,"Gm347"
"Stk39",1,1,1,"Stk39"
"Usp3",2,2,2,"Usp3"
"Agrn",1,1,1,"Agrn"
"Mtrf1.1",3,3,3,"Mtrf1.1"
"Hspb6",4,4,4,"Hspb6"
"Tor1aip1.1",1,1,1,"Tor1aip1.1"
"Prkg2",5,5,5,"Prkg2"
"Luzp1.1",1,1,1,"Luzp1.1"
"Abca3.2",2,2,2,"Abca3.2"
"Gng7.2",4,4,4,"Gng7.2"
"Whdc1",8,8,8,"Whdc1"
"Hspa1b.1",7,7,7,"Hspa1b.1"
"EG547109",7,7,7,"EG547109"
"Als2cr4.1",3,3,3,"Als2cr4.1"
"Glrx",2,2,2,"Glrx"
"Hsd11b1.1",5,5,5,"Hsd11b1.1"
"OTTMUSG00000005737",1,1,1,"OTTMUSG00000005737"
"AA415398",6,6,6,"AA415398"
"Slc41a2",4,4,4,"Slc41a2"
"Pax1",6,6,6,"Pax1"
"Sco1",1,1,1,"Sco1"
"A730011L01Rik",6,6,6,"A730011L01Rik"
"Rpl36a",7,7,7,"Rpl36a"
"Gba2",8,8,8,"Gba2"
"Senp7.2",1,1,1,"Senp7.2"
"Adora3.1",7,7,7,"Adora3.1"
"Bcl3",1,1,1,"Bcl3"
"Gadd45g",1,1,1,"Gadd45g"
"Vldlr.2",4,4,4,"Vldlr.2"
"Clcn3",4,4,4,"Clcn3"
"Folr4",2,2,2,"Folr4"
"E430004N04Rik",2,2,2,"E430004N04Rik"
"Kel",7,7,7,"Kel"
"C030046I01Rik.1",4,4,4,"C030046I01Rik.1"
"Pde4d.1",2,2,2,"Pde4d.1"
"Cdkn2c",2,2,2,"Cdkn2c"
"Ifi35",5,5,5,"Ifi35"
"Pml.1",1,1,1,"Pml.1"
"Sp6.2",8,8,8,"Sp6.2"
"Upp1.2",1,1,1,"Upp1.2"
"Gp49a",7,7,7,"Gp49a"
"Ttc30b.1",2,2,2,"Ttc30b.1"
"Men1.2",4,4,4,"Men1.2"
"Nek4",3,3,3,"Nek4"
"Ccnh",3,3,3,"Ccnh"
"Cox10",6,6,6,"Cox10"
"Gats.1",2,2,2,"Gats.1"
"Cacnb3.3",1,1,1,"Cacnb3.3"
"Ufsp2.1",4,4,4,"Ufsp2.1"
"0610007P14Rik.1",3,3,3,"0610007P14Rik.1"
"Daxx",1,1,1,"Daxx"
"Col5a1",4,4,4,"Col5a1"
"Hk1",4,4,4,"Hk1"
"Fyb",8,8,8,"Fyb"
"1700030J22Rik",3,3,3,"1700030J22Rik"
"Smchd1.4",1,1,1,"Smchd1.4"
"Dctn2",2,2,2,"Dctn2"
"St3gal6",5,5,5,"St3gal6"
"1700019N12Rik",4,4,4,"1700019N12Rik"
"Tmem143.3",2,2,2,"Tmem143.3"
"Galt",6,6,6,"Galt"
"Tcfap2c.2",7,7,7,"Tcfap2c.2"
"Cpne6",7,7,7,"Cpne6"
"Wdr60.1",3,3,3,"Wdr60.1"
"3300001G02Rik",4,4,4,"3300001G02Rik"
"Taf5.1",3,3,3,"Taf5.1"
"Nt5e.1",5,5,5,"Nt5e.1"
"Spag5.1",4,4,4,"Spag5.1"
"Zfp3",2,2,2,"Zfp3"
"Helb",4,4,4,"Helb"
"Mtmr14.2",4,4,4,"Mtmr14.2"
"Ercc1",3,3,3,"Ercc1"
"Nt5c3",3,3,3,"Nt5c3"
"Pgm2",4,4,4,"Pgm2"
"Msh5.1",1,1,1,"Msh5.1"
"Zcchc6.1",8,8,8,"Zcchc6.1"
"Ctss",1,1,1,"Ctss"
"Myst4.1",2,2,2,"Myst4.1"
"Zfp518b",3,3,3,"Zfp518b"
"Zfp608",7,7,7,"Zfp608"
"Socs2",2,2,2,"Socs2"
"Aqp1.2",7,7,7,"Aqp1.2"
"Ehd4",3,3,3,"Ehd4"
"Slc4a8.1",4,4,4,"Slc4a8.1"
"Kif22",4,4,4,"Kif22"
"Stard4",4,4,4,"Stard4"
"Alg8.3",3,3,3,"Alg8.3"
"C2",5,5,5,"C2"
"Adnp.1",5,5,5,"Adnp.1"
"Ndufa6",2,2,2,"Ndufa6"
"Mgst3.1",2,2,2,"Mgst3.1"
"Irak2.1",3,3,3,"Irak2.1"
"Casp4",1,1,1,"Casp4"
"Tmem81",8,8,8,"Tmem81"
"Kcnk5",7,7,7,"Kcnk5"
"Galt.1",6,6,6,"Galt.1"
"Dnahc11",4,4,4,"Dnahc11"
"Apob48r",2,2,2,"Apob48r"
"Pgpep1.1",4,4,4,"Pgpep1.1"
"Acadl",1,1,1,"Acadl"
"Gpihbp1",1,1,1,"Gpihbp1"
"Stx5a",2,2,2,"Stx5a"
"Sox12.1",3,3,3,"Sox12.1"
"2310004I24Rik",1,1,1,"2310004I24Rik"
"Fars2",7,7,7,"Fars2"
"Sf3a3",6,6,6,"Sf3a3"
"Hcn2",4,4,4,"Hcn2"
"Trabd.1",4,4,4,"Trabd.1"
"Ltb4r1",1,1,1,"Ltb4r1"
"Lrrc29",8,8,8,"Lrrc29"
"Glipr2.1",7,7,7,"Glipr2.1"
"Pik3ca",8,8,8,"Pik3ca"
"Pkp2.2",4,4,4,"Pkp2.2"
"Tmem159.1",1,1,1,"Tmem159.1"
"Galk1",4,4,4,"Galk1"
"Ggta1",1,1,1,"Ggta1"
"Hmgn3.1",3,3,3,"Hmgn3.1"
"Pold3",3,3,3,"Pold3"
"Rtn3.1",4,4,4,"Rtn3.1"
"Rpain",2,2,2,"Rpain"
"1110059E24Rik.1",7,7,7,"1110059E24Rik.1"
"Ddb1",3,3,3,"Ddb1"
"Skap2",2,2,2,"Skap2"
"Rtkn.2",4,4,4,"Rtkn.2"
"Pkp4.1",1,1,1,"Pkp4.1"
"Tmem45a.2",1,1,1,"Tmem45a.2"
"Sfi1",8,8,8,"Sfi1"
"Ikzf3",4,4,4,"Ikzf3"
"Ltbp3.1",7,7,7,"Ltbp3.1"
"Cyp11a1",7,7,7,"Cyp11a1"
"Mtap9.2",4,4,4,"Mtap9.2"
"Rpl7a",3,3,3,"Rpl7a"
"Tulp4",5,5,5,"Tulp4"
"Etfb",3,3,3,"Etfb"
"Rorc.1",3,3,3,"Rorc.1"
"Gng2.1",2,2,2,"Gng2.1"
"Dlk1.1",7,7,7,"Dlk1.1"
"Seh1l.2",7,7,7,"Seh1l.2"
"Ercc5.1",2,2,2,"Ercc5.1"
"Gpr133.1",7,7,7,"Gpr133.1"
"Pdcl3",3,3,3,"Pdcl3"
"1200013B08Rik",1,1,1,"1200013B08Rik"
"Ptger2.1",7,7,7,"Ptger2.1"
"Ifi203",1,1,1,"Ifi203"
"Fbxl12.2",8,8,8,"Fbxl12.2"
"Dap",7,7,7,"Dap"
"Rnf31",5,5,5,"Rnf31"
"Spata7.1",3,3,3,"Spata7.1"
"Pvrl2.2",4,4,4,"Pvrl2.2"
"Dhcr7",4,4,4,"Dhcr7"
"V1rg11",3,3,3,"V1rg11"
"Cops2",3,3,3,"Cops2"
"Matn1",7,7,7,"Matn1"
"Abhd7.1",3,3,3,"Abhd7.1"
"5730469M10Rik.1",7,7,7,"5730469M10Rik.1"
"Eps8",2,2,2,"Eps8"
"Dscr3.1",4,4,4,"Dscr3.1"
"Klrk1.1",1,1,1,"Klrk1.1"
"G6pc2",7,7,7,"G6pc2"
"Trim34.1",1,1,1,"Trim34.1"
"2310016C08Rik.1",4,4,4,"2310016C08Rik.1"
"Casp4.1",1,1,1,"Casp4.1"
"Hif3a.1",4,4,4,"Hif3a.1"
"9130404D14Rik",1,1,1,"9130404D14Rik"
"Riok3.1",8,8,8,"Riok3.1"
"Selp",3,3,3,"Selp"
"Trim46",2,2,2,"Trim46"
"Bbs12",3,3,3,"Bbs12"
"Nav1",1,1,1,"Nav1"
"Gtf2e2.1",3,3,3,"Gtf2e2.1"
"Ak3.1",4,4,4,"Ak3.1"
"Capn2",5,5,5,"Capn2"
"Rbpj.1",4,4,4,"Rbpj.1"
"Slc12a8",1,1,1,"Slc12a8"
"Cdc20.1",4,4,4,"Cdc20.1"
"Fcho1",2,2,2,"Fcho1"
"Atp2b4.2",7,7,7,"Atp2b4.2"
"H2-D1",5,5,5,"H2-D1"
"Hisppd2a",3,3,3,"Hisppd2a"
"Il28ra.1",1,1,1,"Il28ra.1"
"Ormdl3",7,7,7,"Ormdl3"
"AI451617",1,1,1,"AI451617"
"Ptprs.2",3,3,3,"Ptprs.2"
"E030049G20Rik.1",7,7,7,"E030049G20Rik.1"
"Tada1l",6,6,6,"Tada1l"
"Nek9",2,2,2,"Nek9"
"Ncapd2.1",4,4,4,"Ncapd2.1"
"Gm50",6,6,6,"Gm50"
"Capn2.1",5,5,5,"Capn2.1"
"Trp53i11.1",2,2,2,"Trp53i11.1"
"Zfp212",8,8,8,"Zfp212"
"Vldlr.3",4,4,4,"Vldlr.3"
"Casp6.1",4,4,4,"Casp6.1"
"Ccdc18",4,4,4,"Ccdc18"
"Sh3bp5",7,7,7,"Sh3bp5"
"Wdr92",5,5,5,"Wdr92"
"B3gnt5",5,5,5,"B3gnt5"
"Znfx1",5,5,5,"Znfx1"
"Aifm2.3",4,4,4,"Aifm2.3"
"Id2.1",7,7,7,"Id2.1"
"Mylc2pl",1,1,1,"Mylc2pl"
"Enox2",4,4,4,"Enox2"
"6030408C04Rik.1",4,4,4,"6030408C04Rik.1"
"Zfp646",6,6,6,"Zfp646"
"Sfxn3",8,8,8,"Sfxn3"
"Dusp7",2,2,2,"Dusp7"
"Serpina3f",3,3,3,"Serpina3f"
"Lgals4",2,2,2,"Lgals4"
"Scarb1",3,3,3,"Scarb1"
"Ubtd1",2,2,2,"Ubtd1"
"Cul4a.1",4,4,4,"Cul4a.1"
"Fscn1",3,3,3,"Fscn1"
"Gnptg",6,6,6,"Gnptg"
"Pkp4.2",1,1,1,"Pkp4.2"
"EG630579",4,4,4,"EG630579"
"Syngr3",1,1,1,"Syngr3"
"Rab39",4,4,4,"Rab39"
"R3hdm1.1",4,4,4,"R3hdm1.1"
"Snx26",1,1,1,"Snx26"
"Pfkm.1",4,4,4,"Pfkm.1"
"Cpne2",7,7,7,"Cpne2"
"Tmem38b.1",3,3,3,"Tmem38b.1"
"Ccs",2,2,2,"Ccs"
"D330045A20Rik.2",7,7,7,"D330045A20Rik.2"
"1810027O10Rik",4,4,4,"1810027O10Rik"
"Trappc6a",4,4,4,"Trappc6a"
"Oat",3,3,3,"Oat"
"Snx2",2,2,2,"Snx2"
"Itgb2",2,2,2,"Itgb2"
"Pcbp4",4,4,4,"Pcbp4"
"Ppap2c",4,4,4,"Ppap2c"
"Nos3.1",4,4,4,"Nos3.1"
"Asah2",5,5,5,"Asah2"
"Armcx3",7,7,7,"Armcx3"
"Pcmtd2",7,7,7,"Pcmtd2"
"Igf2bp2",5,5,5,"Igf2bp2"
"Nrgn",4,4,4,"Nrgn"
"Acss2.1",2,2,2,"Acss2.1"
"Mapk12.2",8,8,8,"Mapk12.2"
"Kcnk5.1",7,7,7,"Kcnk5.1"
"Stau2",3,3,3,"Stau2"
"Yipf3.2",2,2,2,"Yipf3.2"
"Cit",4,4,4,"Cit"
"Rassf4.1",1,1,1,"Rassf4.1"
"Arhgap15.1",8,8,8,"Arhgap15.1"
"Trafd1.2",1,1,1,"Trafd1.2"
"4932417I16Rik",1,1,1,"4932417I16Rik"
"Cdkn2a.1",3,3,3,"Cdkn2a.1"
"Rab40c",8,8,8,"Rab40c"
"Cyb5r3.1",4,4,4,"Cyb5r3.1"
"Ppp3cc",7,7,7,"Ppp3cc"
"Ninj2",1,1,1,"Ninj2"
"1500005A01Rik",5,5,5,"1500005A01Rik"
"Slc31a1",3,3,3,"Slc31a1"
"Usp18.1",1,1,1,"Usp18.1"
"Gas2l3",4,4,4,"Gas2l3"
"Garnl3",1,1,1,"Garnl3"
"Pet112l.2",3,3,3,"Pet112l.2"
"A730008H23Rik",4,4,4,"A730008H23Rik"
"Myo1c",3,3,3,"Myo1c"
"Irf8",3,3,3,"Irf8"
"4933428G20Rik",4,4,4,"4933428G20Rik"
"Ssh3.1",2,2,2,"Ssh3.1"
"Arhgap18",7,7,7,"Arhgap18"
"Ckmt1",1,1,1,"Ckmt1"
"AI894139",8,8,8,"AI894139"
"Rpl22",7,7,7,"Rpl22"
"EG630499.1",5,5,5,"EG630499.1"
"Gga1.2",6,6,6,"Gga1.2"
"C79407.1",4,4,4,"C79407.1"
"2810439F02Rik",3,3,3,"2810439F02Rik"
"Cgrrf1",4,4,4,"Cgrrf1"
"Hexb.1",1,1,1,"Hexb.1"
"Rasa4.1",1,1,1,"Rasa4.1"
"Dscr6",4,4,4,"Dscr6"
"Ntrk3.2",7,7,7,"Ntrk3.2"
"Eif4enif1.1",3,3,3,"Eif4enif1.1"
"Msh5.2",1,1,1,"Msh5.2"
"C76566.3",6,6,6,"C76566.3"
"Pros1",7,7,7,"Pros1"
"Exosc8",4,4,4,"Exosc8"
"Dcp1b",6,6,6,"Dcp1b"
"Tspo.1",5,5,5,"Tspo.1"
"Indo",1,1,1,"Indo"
"1810021J13Rik.1",4,4,4,"1810021J13Rik.1"
"Rap1gap",7,7,7,"Rap1gap"
"Nmb",8,8,8,"Nmb"
"Tom1",2,2,2,"Tom1"
"Galnt11",5,5,5,"Galnt11"
"Ankrd54.2",2,2,2,"Ankrd54.2"
"Casc3",6,6,6,"Casc3"
"Cds2",5,5,5,"Cds2"
"Mphosph9.4",6,6,6,"Mphosph9.4"
"9030617O03Rik",7,7,7,"9030617O03Rik"
"Hipk2",7,7,7,"Hipk2"
"Otx1",3,3,3,"Otx1"
"Tanc1",4,4,4,"Tanc1"
"Pdia2",1,1,1,"Pdia2"
"Car5b.1",1,1,1,"Car5b.1"
"Rsph1",1,1,1,"Rsph1"
"Cryz.2",4,4,4,"Cryz.2"
"Prdm1.1",1,1,1,"Prdm1.1"
"Ccdc111.1",2,2,2,"Ccdc111.1"
"Prl2c2.1",6,6,6,"Prl2c2.1"
"Evi5l",2,2,2,"Evi5l"
"9130011E15Rik",3,3,3,"9130011E15Rik"
"Mrpl44",3,3,3,"Mrpl44"
"Etv1.1",1,1,1,"Etv1.1"
"Pde11a",2,2,2,"Pde11a"
"Reep1",4,4,4,"Reep1"
"Adam15.1",7,7,7,"Adam15.1"
"Piwil4",1,1,1,"Piwil4"
"Csrp1",1,1,1,"Csrp1"
"Dclk1",3,3,3,"Dclk1"
"Pp11r",1,1,1,"Pp11r"
"Aspm",4,4,4,"Aspm"
"Slc12a6.1",8,8,8,"Slc12a6.1"
"Pex7",3,3,3,"Pex7"
"Oasl1.2",1,1,1,"Oasl1.2"
"Rnf40",6,6,6,"Rnf40"
"Ccdc117.1",7,7,7,"Ccdc117.1"
"Tirap.1",4,4,4,"Tirap.1"
"Prdx2.1",4,4,4,"Prdx2.1"
"Fchsd1.1",8,8,8,"Fchsd1.1"
"Acadvl.1",3,3,3,"Acadvl.1"
"Bcl2l2.1",1,1,1,"Bcl2l2.1"
"Eif4e3.1",2,2,2,"Eif4e3.1"
"Apip.2",3,3,3,"Apip.2"
"Cd27.2",6,6,6,"Cd27.2"
"Myd88",6,6,6,"Myd88"
"Nrarp",4,4,4,"Nrarp"
"Hnrpa1.1",3,3,3,"Hnrpa1.1"
"Clock.2",6,6,6,"Clock.2"
"Flot2.2",7,7,7,"Flot2.2"
"Mcf2l.1",7,7,7,"Mcf2l.1"
"Oasl2",1,1,1,"Oasl2"
"BC038286",7,7,7,"BC038286"
"Rgs1.1",3,3,3,"Rgs1.1"
"4930402H24Rik",8,8,8,"4930402H24Rik"
"Gab3.2",5,5,5,"Gab3.2"
"Gm1673",4,4,4,"Gm1673"
"Ifi27",1,1,1,"Ifi27"
"Hopx",1,1,1,"Hopx"
"Nsdhl.2",4,4,4,"Nsdhl.2"
